IATA	ICAO	JapaneseName	EnglishName	Country	City
AED		アレンバ空港 A leneva A irport アメリカ アレンバ			
AEG	WIME	A ek Godang A irport インドネシア			
AEH	FTTC	A béché A irport チャド			
AEI	LEAG	A lgeciras Heliport スペイン アルヘシラス			
AEK	AYAX	A seki A irport パプアニューギニア			
AEL	KAEL	A lbert Lea Municipal A irport アメリカ			
AEO	GQNA	A ioun el A trouss A irport モーリタニア			
AEP	SABE	ホルヘ・ニューベリー空港 Jorge Newbery A irfield アルゼンチン ブエノスアイレス			
AER	URSS	ソチ空港 Sochi A irport ロシア ソチ			
AES	ENAL	オーレスン空港 Ålesund A irport ノルウェー オーレスン			
AET	PFAL	A llakaket A irport (F A A : 6 A 8) アメリカ			
AEX	KAEX	アレクサンドリア国際空港 A lexandria International A irport アメリカ アレキサンドリア			
AEY	BIAR	アークレイリ空港 アイスランド アークレイリ			
AFA	SAMR	San Rafael A irport アルゼンチン			
AFD	FAPA	Port A lfred A irport 南アフリカ			
AFF	KAFF	United States A ir F orce A cademy A irfield アメリカ コロラドスプリングス			
AFI	SKAM	A malfi A irport コロンビア アマルフィ			
AFL	SBAT	A lta F loresta A irport ブラジル			
AFN	KAFN		Jaffrey A irport	Jaffrey A irport	Silver Ranch A irpark アメリカ
AFO	KAFO	A fton Municipal A irport アメリカ			
AFR	AYAF	A fore A irport パプアニューギニア			
AFS	UTSN	ザラフシャン空港 Zarafshan A irport ウズベキスタン ザラフシャン			
AFT	AGAF	A futara A irport ソロモン諸島			
AFW	KAFW	F ort Worth A lliance A irport アメリカ フォートワース			
AFY	LTAH	A fyon A irport トルコ			
AGA	GMAD	A l Massira A irport モロッコ アガディール			
AGB	EDMA	A ugsburg A irport ドイツ アウクスブルグ			
AGC	KAGC	A llegheny County A irport アメリカ ピッツバーグ			
AGD		A nggi A irport インドネシア			
AGE	EDWG	Wangerooge A irport ドイツ			
AGF	LFBA	アジャン・ラ・ガレンヌ空港 A gen La G arenne A irport フランス アジャン			
AGG		A ngorarn A irport パプアニューギニア			
AGH	ESTA	エンゲルホルム・ヘルシンボリ空港 Ängelholm–Helsingborg A irport スウェーデン エンゲルホルム			
AGI	SMWA	Wageningen A irport スリナム			
AGJ	RORA	粟国空港 A guni A irport 日本 粟国島			
AGK		Kagua A irport パプアニューギニア			
AGL	AYWG	Wanigela A irport パプアニューギニア			
AGM	BGAM	Tasiilaq Heliport グリーンランド			
AGN	PAGN	A ngoon Seaplane Base アメリカ			
AGO	KAGO	Magnolia Municipal A irport アメリカ			
AGP	LEMG	マラガ空港 Maraga A irport スペイン マラガ			
AGQ	LGAG	A grinion A irport ギリシャ			
AGR	VIAG	アーグラ空港 A gra A irport インド アーグラ			
AGS	KAGS	オーガスタ・リージョナル空港 A ugusta Regional A irport アメリカ オーガスタ			
AGT	SGES	グアラニ国際空港 G uaraní International A irport パラグアイ シウダー・デル・エステ			
AGU	MMAS	アグアスカリエンテス国際空港 A guascalientes International A irport メキシコ アグアスカリエンテス			
AGV	SVAC	Oswaldo G uevara Mujica A irport ベネズエラ			
AGW		A gnew A irport オーストラリア			
AGX	VOAT	A gatti Island A irport インド			
AGY		A rgyle Downs A irport オーストラリア			
AGZ	FAAG	A ggeneys A irport 南アフリカ			
AHB	OEAB	A bha Regional A irport サウジアラビア			
AHC	KAHC	A medee A rmy A irfield アメリカ ハーロング			
AHD		A rdmore Downtown Executive A irport (F A A : 1F0) アメリカ			
AHE	NTHE	A he A irport フランス領ポリネシア			
AHF		A rapahoe Municipal A irport (F A A : 37V) アメリカ			
AHH	KAHH	A mery Municipal A irport アメリカ			
AHI	WAPA	アマハイ空港 A mahai A irport インドネシア			
AHJ	ZUHY	H ongyuan A irport 中国			
AHL	SYAH	A ishalton A irport ガイアナ			
AHN	KAHN	A thens-Ben Epps A irport アメリカ アテネ			
AHO	LIEA	フェルティリア空港 Fertilia A irport イタリア フェルティリア			
AHS		A huas A irport ホンジュラス			
AHU	GMTA	Charif A l ldrissi A irport モロッコ			
AHY		A mbatolahy A irport マダガスカル			
AHZ	LFHU	A lpe d' H uez A irport フランス			
AIA	KAIA	A lliance Municipal A irport アメリカ			
AIC		A irok A irport マーシャル諸島			
AID	KAID	A nderson Municipal A irport (Darlington Field) アメリカ			
AIE		A iome A irport パプアニューギニア			
AIF	SBAS	A ssis A irport ブラジル			
AIG	FEFY	Yalinga A irport 中央アフリカ			
AIH	AYAK	A iambak A irport パプアニューギニア			
AII	HDAS	A li-Sabieh A irport ジブチ			
AIK	KAIK	A iken Municipal A irport アメリカ			
AIL		A iligandi A irport パナマ			
AIM		A iluk A irport マーシャル諸島			
AIN	PAWI	Wainwright A irport (F A A : A W I ) アメリカ			
AIO	KAIO	A tlantic Municipal A irport アメリカ			
AIP		A ilinglaplap A toll マーシャル諸島			
AIR		A ripuanã A irport ブラジル			
AIS	NGTR	A rorae I sland A irport キリバス			
AIT	NCAI	アイツタキ空港 A itutaki A irport クック諸島 アルタンガ			
AIU	NCAT	エヌア空港 Enua A irport クック諸島 アチウ			
AIV	KAIV	George Downer A irport アメリカ			
AIW		A i- A is A irport ナミビア			
AIY	KAIY	A tlantic City Municipal A irport (Bader Field) (closed 2006) アメリカ アトランティックシティ			
AIZ	KAIZ	Lee C. Fine Memorial A irport アメリカ			
AJA	LFKJ	ナポレオン・ボナパルト空港 A jaccio Napoleon Bonaparte A irport フランス アジャクシ			
AJF	OESK	A l- J awf Domestic A irport サウジアラビア			
AJI	LTCO	A ğrı A irport トルコ			
AJJ	GQNJ	A kjoujt A irport モーリタニア			
AJL	VEAZ	A izawl A irport インド			
AJN	FMCV	Ouani A irport コモロ アンジュアン島			
AJO		A ljouf A irport イエメン			
AJR	ESNX	アルビッツヤウル空港 A rvidsjaur A irport スウェーデン アルビッツヤウル			
AJS		A breojos A irport メキシコ			
AJU	SBAR	Santa Maria A irport ブラジル			
AJY	DRZA	マノ・ダヤク国際空港 Mano Dayak International A irport ニジェール アガデス			
AKA	ZLAK	A nkang A irport 中国			
AKB	PAAK	アトカ空港 A tka A irport アメリカ アトカ島			
AKC	KAKR	アクロン・フルトン国際空港 A kron Fulton International A irport アメリカ アクロン			
AKD	VAAK	A kola A irport インド			
AKE	FOGA	A kieni A irport ガボン			
AKF	HLKF	K ufra A irport リビア			
AKG	AYGU	A nguganak A irport パプアニューギニア			
AKI	PFAK	A kiak A irport アメリカ			
AKJ	RJEC	旭川空港 A sahikawa A irport 日本 旭川			
AKK	PAKH	A khiok A irport アメリカ			
AKL	NZAA	オークランド国際空港 A uckland International A irport ニュージーランド オークランド			
AKM		Zakouma A irport チャド			
AKN	PAKN	キングサーモン空港 K ing Salmon A irport アメリカ キングサーモン			
AKO	KAKO	Colorado Plains Regional A irport アメリカ アクロン			
AKP	PAKP	A naktuvuk Pass A irport アメリカ			
AKQ	WIAG	Gunung Batin A irport インドネシア			
AKR	DNAK	A kure A irport ナイジェリア			
AKS	AGGA	A uki Gwaunaru'u A irport ソロモン諸島			
AKT	LCRA	R A F A krotiri キプロス			
AKU	ZWAK	A ksu A irport 中国			
AKV	CYKO	A kulivik A irport カナダ			
AKX	UATT	アクトベ空港 A ktobe A irport カザフスタン アクトベ			
AKY	VYSW	Sittwe A irport ミャンマー			
ALA	UAAA	アルマトイ国際空港 A lmaty International A irport カザフスタン アルマトイ			
ALB	KALB	オールバニ国際空港 A lbany International A irport アメリカ オールバニ			
ALC	LEAL	アリカンテ＝エルチェ空港 A licante–Elche A irport スペイン アリカンテ			
ALD	SPAR	A lerta A irport ペルー			
ALE		A lpine-Casparis Municipal A irport (F A A : E38) アメリカ アルパイン			
ALF	ENAT	アルタ空港 A lta A irport ノルウェー アルタ			
ALG	DAAG	ウアリ・ブーメディアン空港 Houari Boumediene A irport アルジェリア アルジェ			
ALH	YABA	A lbany A irport オーストラリア			
ALI	KALI	アリス国際空港 A lice International A irport アメリカ アリス			
ALJ	FAAB	Kortdoorn A irport 南アフリカ			
ALK		A sella A irport エチオピア			
ALL	LIMG	リビエラ空港 Riviera A irport イタリア アルベンガ			
ALM	KALM	A lamogordo-White Sands Regional A irport アメリカ			
ALN	KALN	St. L ouis Regional A irport アメリカ			
ALO	KALO	ウォータールー空港 Waterloo Regional A irport アメリカ ウォータールー			
ALP	OSAP	アレッポ国際空港 A leppo International A irport シリア アレッポ			
ALQ	SSLT	A legrete A irport ブラジル			
ALR	NZLX	A lexandra A irport ニュージーランド			
ALS	KALS	サン・ルイス・バレー・リージョナル空港 San L uis Valley Regional A irport アメリカ アラモサ			
ALT		A lenquer A irport ブラジル			
ALU	HCMA	A lula A irport ソマリア			
ALV		A ndorra L a Vella A irport アンドラ			
ALW	KALW	ワラワラ・リージョナル空港 Walla Walla Regional A irport アメリカ ワラワラ			
ALX	KALX	Thomas C. Russell Field アメリカ			
ALY	HEAX	A lexandria International A irport エジプト アレキサンドリア			
ALZ		A litak Seaplane Base アメリカ			
AMA	KAMA	リック・ハズバンド・アマリロ国際空港 Rick Husband A marillo International A irport アメリカ アマリロ			
AMB	FMNE	A mbilobe A irport マダガスカル			
AMC	FTTN	A m Timan A irport チャド			
AMD	VAAH	アフマダーバード空港 A hmedabad A irport インド アフマダーバード			
AME		A lto M olocue A irport モザンビーク			
AMF	AYAA	A ma A irport パプアニューギニア			
AMG		A mboin A irport パプアニューギニア			
AMH	HAAM	A rba M inch A irport エチオピア			
AMI	WADA	セラパラン空港 Selaparang A irport インドネシア マタラム			
AMJ	SNAR	A lmenara A irport ブラジル			
AMK		A nimas A ir Park (F A A : 00C) アメリカ デュランゴ			
AML		Puerto A rmuellas A irport パナマ			
AMM	OJAI	クィーンアリア国際空港 Queen A lia International A irport ヨルダン アンマン			
AMN	KAMN	Gratiot Community A irport アメリカ			
AMO	FTTU	M ao A irport チャド			
AMP	FMSY	A mpanihy A irport マダガスカル			
AMQ	WAPP	パティムラ空港 Pattimura A irport インドネシア			
AMR		A rno A irport マーシャル諸島			
AMS	EHAM	スキポール空港 Schiphol A irport オランダ アムステルダム			
AMT	YAMT	A mata A irport オーストラリア			
AMU	AYAM	A manab A irport パプアニューギニア			
AMV	ULDD	A mderma A irport ロシア			
AMW	KAMW	A mes M unicipal A irport アメリカ			
AMX		A mmaroo A irport オーストラリア			
AMY		A mbatomainty A irport マダガスカル			
AMZ	NZAR	A rdmore A irport ニュージーランド			
ANB	KANB	A nniston Metropolitan A irport アメリカ			
ANC	PANC	アンカレッジ国際空港 Ted Stevens A nchorage International A irport アメリカ アンカレッジ			
AND	KAND	A nderson Regional A irport アメリカ			
ANE	LFJR		A ngers	A ngers	A vrillé A erodrome ( A ngers-Marcé A irport) フランス アンジェ
ANF	SCFA	セロ・モレノ国際空港 Cerro Moreno International A irport チリ アントファガスタ			
ANG	LFBU		A ngoulême	Brie	Champniers A irport フランス
ANH		A nuha Island Resort A irport ソロモン諸島			
ANI	PANI	A niak A irport アメリカ			
ANJ	FCBZ	Zanaga A irport コンゴ民主共和国			
ANK	LTAD	Etimesgut A irport トルコ アンカラ			
ANL		A ndulo A irport アンゴラ			
ANM	FMNH	A ntsirabato A irport マダガスカル			
ANN	PANT	A nnette Island A irport アメリカ			
ANO	FQAG	A ngoche A irport モザンビーク			
ANP	KANP	Lee A irport アメリカ			
ANQ	KANQ	Tri-State Steuben County A irport アメリカ			
ANR	EBAW	アントワープ国際空港 A ntwerp International A irport ベルギー アントワープ			
ANS	SPHY	アンダワイラス空港 A ndahuaylas A irport ペルー アンダワイラス			
ANT		St. A nton A irport オーストリア			
ANU	TAPA	VCバード国際空港 VC Bird International A irport アンティグア・バーブーダ セントジョンズ			
ANV	PANV	A nvik A irport アメリカ			
ANW	KANW	A insworth Municipal A irport アメリカ			
ANX	ENAN	A ndøya A irport, A ndenes ノルウェー			
ANY	KANY	A nthony Municipal A irport アメリカ			
ANZ		A ngus Downs A irport オーストラリア			
AOA		A roa A irport パプアニューギニア			
AOB		A nnanberg A irport パプアニューギニア			
AOC	EDAC	Leipzig- A ltenburg A irport ドイツ			
AOD		A bou-Deia A irport チャド			
AOE	LTBY	A nadolu A irport トルコ			
AOG	ZYAS	A nshan Teng'ao A irport 中国			
AOH	KAOH	Lima A llen County A irport アメリカ リマ			
AOI	LIPY	Falconara A irport イタリア アンコーナ			
AOJ	RJSA	青森空港 A omori A irport 日本 青森			
AOK	LGKP	Karpathos A irport ギリシャ			
AOL	SARL	Paso de los Libres A irport アルゼンチン			
AON		A rona A irport パプアニューギニア			
AOO	KAOO	A ltoona-Blair County A irport アメリカ			
AOP		A lférez F A P A lfredo Vladimir Sara Bauer A irport ペルー			
AOQ	BGAG	A appilattoq Heliport (Qaasuitsup) グリーンランド			
AOR	WMKA	スルタン・アブドゥ・ハリム空港 Sultan A bdul Halim A irport マレーシア アロースター			
AOS		A mook Bay Seaplane Base (F A A : A K81) アメリカ			
AOT	LIMW	Corrado Gex A irport イタリア アオスタ			
AOU	VLAP	A ttopeu A irport ラオス			
APA	KAPA	Centennial A irport アメリカ アラパホ・カウンティ			
APB	SLAP	A polo A irport ボリビア			
APC	KAPC	Napa County A irport アメリカ ナパ			
APE	SPAO	San Juan A posento A irport ペルー			
APF	KAPF	Naples Municipal A irport アメリカ			
APG	KAPG	P hillips A rmy A irfield アメリカ			
APH	KAPH	A . P . Hill A rmy A irfield アメリカ			
API	SKAP	Gomez Nino- A piay A irport コロンビア			
APK	NTGD	A pataki A irport フランス領ポリネシア			
APL	FQNP	Nampula A irport モザンビーク			
APN	KAPN	A lpena County Regional A irport アメリカ			
APO	SKLC	A ntonio Roldán Betancourt A irport コロンビア			
APP		A sapa A irport パプアニューギニア			
APQ	SNAL	A rapiraca A irport ブラジル			
APR	AYPE	A pril River A irport パプアニューギニア			
APS	SWNS	A nápolis A irport ブラジル			
APT	KAPT	Marion County A irport (Brown Field) アメリカ ジャスパー			
APU	SSAP	A pucarana A irport ブラジル			
APV	KAPV	アップルバレー空港 A pple Valley A irport アメリカ アップルバレー			
APW	NSFA	ファレオロ国際空港 Faleolo International A irport サモア アピア			
APX	SSOG	A rapongas A irport ブラジル			
APY	SNAI	A lto P arnaíba A irport ブラジル			
APZ	SAHZ	Zapala A irport アルゼンチン			
AQA	SBAQ	A raraquara A irport ブラジル			
AQB	MGQC	Q uiché A irport グアテマラ			
AQG	ZSAQ	A nqing Tianzhushan A irport 中国			
AQI	OEPA	A l Q aisumah/Hafr A l Batin A irport サウジアラビア			
AQJ	OJAQ	King Hussein International A irport ヨルダン			
AQM		A riquemes A irport ブラジル			
AQP	SPQU	ロドリゲス・バルロン国際空港 Rodríguez Ballón International A irport ペルー アレキパ			
AQS		Saqani A irport フィジー			
ARA	KARA	A cadiana R egional A irport アメリカ			
ARB	KARB	A nn A rbor Municipal A irport アメリカ			
ARC	PARC	A rctic Village A irport アメリカ			
ARD	WATM	A lor Island A irport インドネシア			
ARE	TJAB	A ntonio (Nery) Juarbe Pol A irport (F A A : A BO) プエルトリコ			
ARF		A caricuara A irport コロンビア			
ARG	KARG	Walnut R idge R egional A irport アメリカ			
ARH	ULAA	Talagi A irport ロシア			
ARI	SCAR	チャカルタ国際空港 Chacalluta International A irport チリ アリカ			
ARJ	WAJA	A rso A irport インドネシア			
ARK	HTAR	A rusha A irport タンザニア			
ARL	DFER	A rly A irport ブルキナファソ			
ARM	YARM	A rmidale A irport オーストラリア			
ARN	ESSA	ストックホルム・アーランダ空港 Stockholm- A rlanda A irport スウェーデン ストックホルム			
ARO		A rboletas A irport コロンビア			
ARP		A ragip A irport パプアニューギニア			
ARQ		A rauquita A irport (El Troncal) コロンビア			
ARR	SAVR	A lto R ío Senguer A irport アルゼンチン			
ARS	SWEC	A ragarças A irport ブラジル			
ART	KART	ウォータータウン国際空港 Watertown International A irport アメリカ ウォータータウン			
ARU	SBAU	A raçatuba A irport ブラジル			
ARV	KARV	Lakeland A irport (Noble F. Lee Memorial Field) アメリカ			
ARW	LRAR	アラド国際空港 A rad International A irport ルーマニア アラド			
ARX		A sbury Park Neptune A irport (closed 1977) アメリカ			
ARY	YARA	A rarat A irport オーストラリア			
ARZ	FNZE	N'zeto A irport アンゴラ			
ASA	HHSB	A ssab International A irport エリトリア			
ASB	UTAA	アシガバート空港 A shgabat A irport トルクメニスタン アシガバート			
ASC	SLAS	A scensión de Guarayos A irport ボリビア			
ASD	MYAF	A ndros Town International A irport バハマ			
ASE	KASE	アスペン・ピッキン・カウンティ空港 A spen-Pitkin County A irport アメリカ アスペン			
ASF	URWA	Narimanovo A irport ロシア			
ASG	NZAS	A shburton A irport ニュージーランド			
ASH	KASH	Boire Field アメリカ			
ASI	FHAW	Wideawake Field セントヘレナ ジョージタウン			
ASJ	RJKA	奄美空港 A mami A irport 日本 奄美大島			
ASK	DIYO	Yamoussoukro A irport コートジボワール			
ASL	KASL	Harrison County A irport アメリカ マーシャル			
ASM	HHAS	アスマラ国際空港 A smara International A irport エリトリア アスマラ			
ASN	KASN	Talladega Municipal A irport アメリカ			
ASO	HASO	A sosa A irport エチオピア			
ASP	YBAS	アリス・スプリングス空港 A lice S prings A irport オーストラリア アリススプリングス			
ASQ		オースティン空港 A ustin A irport アメリカ オースティン			
ASR	LTAU	カイセリ国際空港 Erkilet International A irport トルコ カイセリ			
AST	KAST	アストリア・リージョナル空港 A storia Regional A irport アメリカ アストリア			
ASU	SGAS	シルビオ・ペッティロッシ国際空港 S ilvio Pettirossi International A irport パラグアイ アスンシオン			
ASV	HKAM	A mboseli A irport ケニア			
ASW	HESN	アスワン国際空港 A swan International A irport エジプト アスワン			
ASX	KASX	John F. Kennedy Memorial A irport アメリカ			
ASY	KASY	A shley Municipal A irport アメリカ			
ASZ		A sirim A irport パプアニューギニア			
ATA	SPHZ	コマンダンテFAPヘルマン・アリアス・グラシアニ空港 Comandante F A P Germán A rias Graziani A irport ペルー アンタ			
ATB	HSAT	A tbara A irport スーダン			
ATC	MYCA	A rthur's T own A irport バハマ			
ATD	AGAT	ウル・ハーバー空港 Uru Harbour A irport ソロモン諸島 アトイフィ			
ATE		A ntlers Municipal A irport (F A A : 80F) アメリカ			
ATF	SEAM	Chachoan A irport エクアドル			
ATG		A ttock A irport パキスタン			
ATH	LGAV	アテネ国際空港 A thens International A irport ギリシャ アテネ			
ATI	SUAG	A rtigas International A irport ウルグアイ			
ATJ	FMME	A ntsirabe A irport マダガスカル アンツィラベ			
ATK	PATQ	A tqasuk Edward Burnell Sr. Memorial A irport アメリカ			
ATL	KATL	ハーツフィールド・ジャクソン・アトランタ国際空港 T he Hartsfield-Jackson A tlanta International A irport アメリカ アトランタ			
ATM	SBHT	A ltamira A irport ブラジル			
ATN	AYNX	Namatanai A irport パプアニューギニア			
ATO	KUNI	Ohio University A irport (Snyder Field) (F A A : UNI) アメリカ			
ATP	AYAI	A itape A irstrip パプアニューギニア			
ATQ	VIAR	アムリトサル国際空港 A mritsar International A irport インド アムリトサル			
ATR	GQPA	A tar International A irport モーリタニア			
ATS	KATS	A rtesia Municipal A irport アメリカ			
ATT		A tmautluak A irport (F A A : 4 A 2) アメリカ			
ATU	PAAT	Casco Cove Coast Guard Station アメリカ			
ATV	FTTI	A ti A irport チャド			
ATW	KATW	A ppleton International A irport アメリカ			
ATX		A tbasar A irport カザフスタン			
ATY	KATY	Watertown Regional A irport アメリカ			
ATZ	HEAT	A ssiut A irport エジプト			
AUA	TNCA	ベアトリクス女王国際空港 Queen Beatrix International A irport アルバ オラニエスタッド			
AUB		Itauba A irport ブラジル			
AUC	SKUC	Santiago Pérez A irport コロンビア			
AUD	YAGD	A ugustus Downs A irport オーストラリア			
AUE		A bu Rudeis A irport エジプト			
AUF	LFLA		A uxerre	A uxerre	Branches A erodrome フランス オーセール
AUG	KAUG	オーガスタ空港 A ugusta State A irport アメリカ オーガスタ			
AUH	OMAA	アブダビ国際空港 A bu Dhabi International A irport アラブ首長国連邦 アブダビ			
AUI	AYND	A ua Island A irport パプアニューギニア			
AUJ	AYAT	A mbunti A irport パプアニューギニア			
AUK		A lakanuk A irport アメリカ			
AUL		A ur A irport マーシャル諸島			
AUM	KAUM	A ustin Municipal A irport アメリカ			
AUN	KAUN	A uburn Municipal A irport アメリカ オーバーン			
AUO	KAUO	A uburn U niversity Regional A irport アメリカ			
AUP	AYAG	A gaun A irport パプアニューギニア			
AUQ	NTMN	A tuona A irport フランス領ポリネシア			
AUR	LFLW	A urillac A irport フランス			
AUS	KAUS	オースティン・バーグストロム国際空港 A ustin-Bergstrom International A irport アメリカ オースティン			
AUT	WPAT	A tauro A irport 東ティモール			
AUU	YAUR	A urukun A irport オーストラリア			
AUV	AYUM	A umo A irport パプアニューギニア			
AUW	KAUW	Wausau Downtown A irport アメリカ			
AUX	SWGN	A raguaína A irport ブラジル			
AUY	NVVA	A natom A irport バヌアツ			
AUZ	KARR	A urora Municipal A irport (F A A : A RR) アメリカ			
AVA	ZUAS	A nshun Huangguoshu A irport 中国			
AVB	LIPA	A viano A ir Base イタリア			
AVF		A voriaz A irport フランス			
AVG	YAUV	A uvergne A irport オーストラリア			
AVI	MUCA	Máximo Gómez A irport キューバ			
AVK	ZMAH	アルバイヘール空港 A rvaikheer A irport モンゴル アルバイヘール			
AVL	KAVL	アシュビル空港 A sheville Regional A irport アメリカ アシュビル			
AVN	LFMV	アヴィニョン－プロバンス空港 A vignon		アヴィニョン－プロバンス空港 A vignon	Provence A irport フランス アヴィニョン
AVO	KAVO	A von Park Executive A irport アメリカ			
