IATA	ICAO	JapaneseName	EnglishName	Country	City
CUG	YCUA	C udal Airport オーストラリア			
CUH	KCUH	C ushing Municipal Airport アメリカ			
CUI		C urillo Airport コロンビア			
CUJ		C ulion Airport フィリピン			
CUK		C aye C aulker Airport ベリーズ キー・カーカー			
CUL	MMCL	クリアカン国際空港 C uliacán International Airport メキシコ クリアカン			
CUM	SVCU	Antonio José de Sucre Airport ベネズエラ			
CUN	MMUN	カンクン国際空港 C ancun International Airport メキシコ カンクン			
CUO	SKCR	C aruru Airport コロンビア			
CUP	SVCP	General José Francisco Bermúdez Airport ベネズエラ			
CUQ	YCOE	C oen Airport オーストラリア			
CUR	TNCC	Hato International Airport オランダ ウィレムスタット			
CUS		C olumbus Municipal Airport (FAA: 0NM0) アメリカ			
CUT	SAZW	C utral C ó Airport アルゼンチン			
CUU	MMCU	チワワ国際空港 C hihuahua International Airport メキシコ チワワ			
CUV	SVCG	El C ubo Airport ベネズエラ			
CUX		C uddihy Field (FAA: 07TE) アメリカ コーパスクリスティ			
CUY	YCUE	C ue Airport オーストラリア			
CUZ	SPZO	アレハンドロ・ベラスコ・アステテ国際空港 Alejandro Velasco Astete International Airport ペルー クスコ			
CVB	AYCB	C hungribu Airport パプアニューギニア			
CVC	YCEE	C leve Airport オーストラリア			
CVE	SKCV	C oveñas Airport コロンビア			
CVF	LFLJ	C ourchevel Aerodrome フランス			
CVG	KCVG	シンシナティ・ノーザン・ケンタッキー国際空港 C incinnati/Northern Kentucky International Airport アメリカ シンシナティ			
CVH		C aviahue Airport アルゼンチン			
CVI		C aleta Olivia Airport アルゼンチン			
CVJ	MMCB	General Mariano Matamoros Airport メキシコ クエルナバカ			
CVL		C ape V ogel Airport パプアニューギニア			
CVM	MMCV	General Pedro J. Méndez National Airport メキシコ			
CVN	KCVN	C lovis Municipal Airport アメリカ			
CVO	KCVO	C orvallis Municipal Airport アメリカ コーバリス			
CVQ	YCAR	C arnarvon Airport オーストラリア			
CVS	KCVS	C annon Air Force Base アメリカ			
CVT	EGBE	C oventry Airport イギリス コベントリー			
CVU	LPCR	C orvo Airport ポルトガル			
CWA	KCWA	セントラル・ウィスコンシン空港 C entral W isconsin Airport アメリカ ウォーソー			
CWB	SBCT	アフォンソ・ペーナ国際空港 Afonso Pena International Airport ブラジル クリチバ			
CWC	UKLN	チェルニウツィー国際空港 C hernivtsi International Airport ウクライナ チェルニウツィー			
CWF	KCWF	C hennault International Airport アメリカ			
CWI	KCWI	C linton Municipal Airport アメリカ クリントン			
CWL	EGFF	カーディフ国際空港 C ardiff Airport イギリス カーディフ			
CWP		C ampbellpore Airport パキスタン			
CWR	YCWI	C owarie Airport オーストラリア			
CWS		センター・アイランド空港 C enter Island Airport (FAA: 78 W A) アメリカ センター・アイランド			
CWT	YCWR	C owra Airport オーストラリア			
CWW	YCOR	C orowa Airport オーストラリア			
CXA	SVCD	C aicara de Orinoco Airport ベネズエラ			
CXB	VGCB	コックスバザール空港 C ox's Bazar Airport バングラデシュ コックスバザール			
CXC		C hitina Airport アメリカ			
CXF	PACX	C oldfoot Airport アメリカ			
CXH	CYHC	Vancouver Harbour Water Aerodrome ( C oal Harbour Seaplane Base) カナダ バンクーバー			
CXI	PLCH	カシディー国際空港 C assidy International Airport キリバス クリスマス島			
CXJ	SBCX	C axias do Sul Airport ブラジル			
CXL	KCXL	C alexico International Airport アメリカ カレクシコ			
CXN	HCMC	C andala Airport ソマリア			
CXO	KCXO	ローン・スター・エグゼクティブ空港 Lone Star Executive Airport アメリカ ヒューストン			
CXP	WIHL	テュングル・ウルン空港 Tunggul Wulung Airport インドネシア			
CXQ	YCRK	C hristmas C reek Airport オーストラリア			
CXR	VVCR	カムラン国際空港 C am Ranh International Airport ベトナム ニャチャン			
CXT	YCHT	C harters Towers Airport オーストラリア			
CXY	MYCC	C at C ay Airport バハマ			
CYA	MTCA	Les C ayes Airport ハイチ			
CYB	MWCB	ジェラルド・スミス国際空港 Gerrard Smith International Airport イギリス領ケイマン諸島 ケイマンブラック島			
CYC		C aye C hapel Airport ベリーズ			
CYF	PACK	C hefornak Airport (FAA: C FK) アメリカ			
CYG	YCRG	C orryong Airport オーストラリア			
CYI	RCKU	嘉義空港 C hiayi Airport 台湾 嘉義			
CYL		C oyoles Airport ホンジュラス			
CYM		C hatham Seaplane Base アメリカ			
CYO	MUCL	Vilo Acuña Airport キューバ			
CYP	RPVC	カルバヨグ空港 C albayog Airport フィリピン カルバヨグ			
CYR	SUCA	Laguna de los Patos International Airport ウルグアイ コロニア・デル・サクラメント			
CYS	KCYS	シャイアン空港 C heyenne Regional Airport アメリカ シャイアン			
CYT	PACY	Y akataga Airport アメリカ			
CYU	RPLO	クーヨー空港 C uyo Airport フィリピン クーヨー			
CYW	MMCY	C aptain Rogelio C astillo National Airport メキシコ			
CYX	UESS	C hersky Airport ロシア			
CYZ	RPUY	C auayan Airport フィリピン			
CZA	MMCT	Kaua International Airport メキシコ			
CZB		C arlos Ruhl Airport ブラジル			
CZC		C opper C enter 2 Airport (FAA: Z 93) アメリカ			
CZE	SVCR	José Leonardo C hirino Airport ベネズエラ			
CZF	PACZ	C ape Romanzof Long Range Radar Station アメリカ			
CZH		C orozal Airport ベリーズ			
CZJ		C orazon de Jesus Airport パナマ			
CZK	KCZK	C ascade Locks State Airport アメリカ カスケード・ロックス			
CZL	DABC	Mohamed Boudiaf International Airport アルジェリア			
CZM	MMCZ	コスメル国際空港 C ozumel International Airport メキシコ コスメル			
CZN		C hisana Airport アメリカ			
CZO		C histochina Airport アメリカ			
CZP		C ape Pole Seaplane Base (FAA: Z 71) アメリカ			
CZS	SBCZ	C ruzeiro do Sul International Airport ブラジル			
CZT	KCZT	Dimmit C ounty Airport アメリカ カリーゾ・スプリングス			
CZU	SKCZ	Las Brujas Airport コロンビア			
CZW	EPCH	Rudniki Airport ポーランド			
CZX	ZSCG	常州奔牛空港 C hangzhou Benniu International Airport 中国 常州			
CZY	YUNY	C luny Airport オーストラリア			
DAA	KDAA	D avison A rmy A irfield アメリカ			
DAB	KDAB	デイトナビーチ国際空港 D aytona Beach International A irport アメリカ デイトナビーチ			
DAC	VGHS	シャージャラル国際空港 Shahjalal International A irport バングラデシュ ダッカ			
DAD	VVDN	ダナン国際空港 D a Nang International A irport ベトナム ダナン			
DAF		D aup A irport パプアニューギニア			
DAG	KDAG	バーストー・ダジェット空港 Barstow- D aggett A irport アメリカ バーストー			
DAH		D athina A irport イエメン			
DAJ		D auan A irport オーストラリア			
DAK	HEDK	D akhla Oasis A irport エジプト			
DAL	KDAL	D allas Love Field アメリカ ダラス			
DAM	OSDI	ダマスカス国際空港 D amascus International A irport シリア ダマスカス			
DAN	KDAN	D anville Regional A irport アメリカ			
DAP	VNDL	ダーチュラ空港 D archula A irport ネパール ダーチュラ			
DAR	HTDA	ジュリウス・ニエレレ国際空港 J.K. Nyerere International A irport タンザニア ダルエスサラーム			
DAT	ZBDT	D atong Yungang A irport 中国			
DAU	AYDU	D aru A irport パプアニューギニア			
DAV	MPDA	Enrique Malek International A irport パナマ ダビ			
DAX	ZUDX	D azhou Heshi A irport 中国			
DAY	KDAY	デイトン国際空港 D ayton International A irport アメリカ デイトン			
DAZ	OADZ	D arwaz A irport アフガニスタン			
DBA	OPDB	D albandin Airport パキスタン			
DBD	VEDB	D hanbad Airport インド			
DBM	HADM	D ebre Marcos Airport エチオピア			
DBN	KDBN	W. H. ' B ud' B arron Airport アメリカ ダブリン			
DBO	YSDU	D ubbo Airport オーストラリア			
DBP	AYDB	D ebepare Airport パプアニューギニア			
DBQ	KDBQ	ダビューク空港 D ubuque Regional Airport アメリカ ダビューク			
DBS		D ubois Municipal Airport (FAA: U41) アメリカ			
DBT	HADT	D ebre Tabor Airport エチオピア			
DBV	LDDU	ドブロヴニク空港 D ubrovnik Airport クロアチア ドブロヴニク			
DBY	YDAY	D alby Airport オーストラリア			
DCA	KDCA	ロナルド・レーガン・ワシントン・ナショナル空港 Ronald Reagan Washington National Airport アメリカ ワシントンDC			
DCF	TDCF	ケインフィールド空港 C anefield Airport ドミニカ ケインフィールド			
DCI	LIED	D ecimomannu Air Base イタリア			
DCK		D ahl C reek Airport アメリカ			
DCM	LFCK	C astres-Mazamet Airport フランス			
DCR	KDCR	D ecatur Hi-Way Airport (closed) アメリカ			
DCT	MYRD	D uncan Town Airport バハマ			
DCU	KDCU	プライオア・フィールド地域空港 Pryor Field Regional Airport アメリカ ディケーター			
DCY	ZUDC	稲城亜丁空港 D aocheng Yading Airport 中国 稲城県			
DDC	KDDC	D odge City Regional Airport アメリカ			
DDG	ZYDD	D andong Langtou Airport 中国			
DDI		D aydream Island Resort Airport オーストラリア			
DDM		D odoima Airport パプアニューギニア			
DDN	YDLT	D elta D owns Airport オーストラリア			
DDP		D orado Beach Airport プエルトリコ			
DDU	OPDD	D adu Airport パキスタン			
DEA	OPDG	デラ・ガージ・カーン空港 D era Ghazi Khan International Airport パキスタン デラ・ガージ・カーン			
DEB	LHDC	デブレツェン国際空港 D ebrecen International Airport ハンガリー デブレツェン			
DEC	KDEC	D ecatur Airport アメリカ			
DED	VIDN	D ehradun Airport インド			
DEF	OIAD	D ezful Airport イラン			
DEH	KDEH	D ecorah Municipal Airport アメリカ			
DEI	FSSD	D enis Island Airport セーシェル デニス島			
DEL	VIDP	インディラ・ガンディー国際空港 Indira Gandhi International Airport インド デリー			
DEM	HADD	D embidolo Airport エチオピア			
DEN	KDEN	デンバー国際空港 D enver International Airport アメリカ デンバー			
DEP	VEDZ	D aporijo Airport インド			
DER	AYDE	D erim Airport パプアニューギニア			
DES	FSDR	D esroches Airport セーシェル デロッシュ島			
DET	KDET	Coleman A. Young International Airport アメリカ			
DEZ	OSDZ	デリゾール空港 D eir ez-Zor Airport シリア デリゾール			
DFI	KDFI	D efiance Memorial Airport アメリカ			
DFP		D rumduff Airport オーストラリア			
DFW	KDFW	ダラス・フォートワース国際空港 D allas/ F ort Worth International Airport アメリカ ダラス,フォートワース			
DGA		D angriga Airport ベリーズ			
DGC		D egahbur Airport エチオピア			
DGE	YMDG	Mudgee Airport オーストラリア			
DGL	KDGL	D ouglas Municipal Airport アメリカ			
DGN	KNDY	D ahlgren Naval Surface Warfare Center (FAA: N D Y) アメリカ			
DGO	MMDO	ドュランゴ国際空港 D urango International Airport メキシコ ドュランゴ			
DGP	EVDA	D augavpils International Airport ラトビア			
DGR	NZDA	D argaville Aerodrome ニュージーランド			
DGT	RPVD	シブラン空港 Sibulan Airport フィリピン ドゥマゲテ			
DGU	DFOD	D edougou Airport ブルキナファソ			
DGW	KDGW	Converse County Airport アメリカ			
DGX	EGDX	MO D St Athan イギリス			
DHA	OEDR	D hahran International Airport サウジアラビア			
DHD	YDRH	D urham D owns Airport オーストラリア			
DHF	OMAM	Al D hafra Air Base アラブ首長国連邦			
DHI	VNDH	ダンガルヒ空港 D hangadhi Airport ネパール ダンガルヒ			
DHL	ODAL	D hala Airport イエメン			
DHM	VIGG	Gaggal Airport インド			
DHN	KDHN	D othan Regional Airport アメリカ			
DHR	EHKD	D e Kooy Airport オランダ			
DHT	KDHT	ダルハート空港 D alhart Municipal Airport アメリカ ダルハート			
DIB	VEMN	D ibrugarh Airport (Chabua Airport) インド			
DIC	WPDH		City Heliport		
DIE	FMNA	Arrachart Airport マダガスカル アンツィラナナ			
DIG	ZPDQ	D êqên Shangri-La Airport 中国			
DIJ	LFSD	D ijon-Bourgogne Airport フランス ディジョン			
DIK	KDIK	Theodore Roosevelt Regional Airport アメリカ			
DIL	WPDL	プレジデンテ・ニコラウ・ロバト国際空港 Presidente Nicolau Lobato I nternational Airport 東ティモール ディリ			
DIM	DIDK	D imbokro Airport コートジボワール			
DIN	VVDB	ディエンビエンフー空港 D ien Bien Phu Airport ベトナム ディエンビエンフー			
DIO		D iomede Heliport (FAA: D M2) アメリカ			
DIP	DFED	D iapaga Airport ブルキナファソ			
DIQ	SNDV	D ivinópolis Airport ブラジル			
DIR	HADR	Aba Tenna D ejazmach Yilma I nternational Airport エチオピア			
DIS	FCPL	D olisie Airport コンゴ共和国			
DIU		D iu Airport インド			
DIV	DIDV		D ivo Airport		
DIY	LTCC	D iyarbakır Airport トルコ ディヤルバクル			
DJA	DBBD	D jougou Airport ベナン			
DJB	WIPA	Sultan Thaha Airport (Sultan Taha Syarifudn Airport) インドネシア			
DJE	DTTJ	Zarzis Airport チュニジア			
DJG	DAAJ	Tiska Airport アルジェリア			
DJJ	WAJJ	センタニ空港 Sentani Airport インドネシア ジャヤプラ			
DJM	FCBD	D jambala Airport コンゴ共和国			
DJN		D elta J unction Airport (FAA: D 66) アメリカ			
DJO	DIDL		D aloa Airport		
DJR	YDAJ	D ajarra Airport オーストラリア			
DJU	BIDV	D júpivogur Airport アイスランド			
DKI	YDKI	D unk Island Airport オーストラリア			
DKK	KDKK	Chautauqua County/ D unkirk Airport アメリカ ダンケルク			
DKR	GOOY	レオポール・セダール・サンゴール国際空港 Leopold Sedar Senghor International Airport セネガル ダカール			
DKS	UODD	D ikson Airport ロシア			
DKV	YDVR	D ocker River Airport オーストラリア			
DLA	FKKD	ドゥアラ国際空港 D ouala International Airport カメルーン ドゥアラ			
DLB		D albertis Airport パプアニューギニア			
DLC	ZYTL	大連周水子国際空港（ダイレンシュウスイシ） D alian Zhoushuizi International Airport 中国 大連（ダイレン）			
DLE	LFGJ	D ôle-Tavaux Airport フランス			
DLF	KDLF	L aughlin Air Force Base アメリカ デル・リオ			
DLG	PADL	D illingham Airport アメリカ			
DLH	KDLH	ダルース国際空港 D uluth International Airport アメリカ ダルース			
DLI	VVDL	リエンケオン国際空港 L ien Khuong Airport ベトナム ダラット			
DLK	YDLK	D ulkaninna Airport オーストラリア			
DLL	KDLC	D illon County Airport (FAA: D L C) アメリカ			
DLM	LTBS	ダラマン空港 D alaman Airport トルコ ダラマン			
DLN	KDLN	D illon Airport アメリカ			
DLP		D isneyland Resort Paris Airport フランス			
DLS	KDLS	Columbia Gorge Regional Airport (The D alles Municipal Airport) アメリカ ザ・ダレス			
DLU	ZPDL	D ali Airport 中国			
DLV	YDLV	D elissaville Airport オーストラリア			
DLY	NVVD	D illon's Bay Airport バヌアツ			
DLZ	ZMDZ	ダルンザドガド空港 D alanzadgad Airport モンゴル ダルンザドガド			
DMA	KDMA	D avis M onthan Air Force Base アメリカ ツーソン			
DMB	UADD	タラズ空港 Taraz Airport カザフスタン タラズ			
DMD	YDMG	D oomadgee M ission Airport オーストラリア			
DME	UUDD	ドモジェドボ国際空港 D omodedovo International Airport ロシア モスクワ			
DMK	VTBD	ドンムアン空港 D on M uang Airport タイ バンコク・ドンムアン			
DMM	OEDF	キング・ファハド国際空港 King Fahd International Airport サウジアラビア ダンマーム			
DMN	KDMN	D eming M unicipal Airport アメリカ			
DMO	KDMO	Sedalia M emorial Airport アメリカ			
DMR		D hamar Airport イエメン			
DMT	SWDM	D iamantino Airport ブラジル			
DMU	VEMR	D imapur Airport インド			
DNA	RODN	Kadena Air Base 日本			
DNB	YDBR	D unbar Airport オーストラリア			
DNC			D anane Airport		
DND	EGPN	D undee Airport イギリス			
DNF		Matrubah Airport リビア			
DNH	ZLDH	D unhuang Airport 中国			
DNI	HSWD	Wad Medani Airport スーダン			
DNK	UKDD	ドニプロペトロウシク国際空港 D nipropetrovsk International Airport ウクライナ ドニプロペトロウシク			
DNL	KDNL	D aniel Field アメリカ			
DNM		D enham Airport オーストラリア			
DNN	KDNN	D alton Municipal Airport アメリカ			
DNO	SWDN	D ianopolis Airport ブラジル			
DNP	VNDG	ダング空港 D ang Airport ネパール トゥルシプル			
DNQ	YDLQ	D eniliquin Airport オーストラリア			
DNR	LFRD		D inard	Pleurtuit	Saint-Malo Airport フランス
DNS	KDNS	D enison Municipal Airport アメリカ			
DNU	AYDN	D inangat Airport パプアニューギニア			
DNV	KDNV	Vermilion County Airport アメリカ			
DNX	HSGG	Galegu Airport スーダン			
DNZ	LTAY	Çardak Airport トルコ デニズリ			
DOA		D oany Airport マダガスカル			
DOB	WAPD	ドボ空港 D obo Airport インドネシア ドボ			
DOC		D ornoch Airport イギリス			
DOD	HTDO	D odoma International Airport タンザニア			
DOE		D jumu Airport スリナム			
DOG	HSDN	D ongola Airport スーダン			
DOH	OTBD	ハマド国際空港 Hamad International Airport カタール ドーハ			
DOI	AYDO	D oini Airport パプアニューギニア			
DOK	UKCC	ドネツク国際空港 D onetsk International Airport ウクライナ ドネツク			
DOL	LFRG	D eauville Saint-Gatien Airport フランス ドーヴィル			
DOM	TDPD	メルビル・ホール空港 Melville Hall Airport ドミニカ マリゴット			
DON		D os Lagunas Airport グアテマラ			
DOO	AYDR	D orobisoro Airport パプアニューギニア			
DOP	VNDP	ドルパ空港 D olpa Airport ネパール ドルパ			
DOR	DFEE	D ori Airport ブルキナファソ			
DOS		D ios Airport パプアニューギニア			
DOT	SADD	D on Torcuato International Airport (closed) アルゼンチン			
DOU	SSDO	D ourados Airport ブラジル			
DOV	KDOV	D over Air Force Base アメリカ ドーヴァー			
DOX	YDRA	D ongara Airport オーストラリア			
DPA	KDPA	D upage Airport アメリカ			
DPE	LFAB	St-Aubin Airport フランス			
DPG	KDPG	Michael Army Airfield アメリカ			
DPL	RPMG	ディポログ空港 D ipolog Airport フィリピン ディポログ			
DPO	YDPO	D evonport Airport オーストラリア			
DPS	WADD	デンパサール国際空港 Ngurah Rai International Airport インドネシア デンパサール			
DPT		D eputatsky Airport ロシア			
DPU		D umpu Airport パプアニューギニア			
DQA	ZYDQ	D aqing Sartu Airport 中国			
DQH	PALP	Alpine Airstrip (FAA: AK15) アメリカ			
DRA	KDRA	デザート・ロック空港 D esert R ock Airport アメリカ マーキュリー			
DRB	YDBY	D erby Airport オーストラリア			
DRC		D irico Airport アンゴラ			
DRD	YDOR	D orunda Airport オーストラリア			
DRE	KDRM	D rummond Island Airport (FAA: D R M) アメリカ			
DRG	PADE	D eering Airport (FAA: D EE) アメリカ			
DRH		D abra Airport インドネシア			
DRI	KDRI	Beauregard R egional Airport アメリカ			
DRJ	SMDA	D rietabbetje Airport スリナム			
DRK	MRDK	ドレイク・ベイ空港 D rake Bay Airport コスタリカ ドレイク・ベイ			
DRM		D rama Airport ギリシャ			
DRN	YDBI	D irranbandi Airport オーストラリア			
DRO	KDRO	デュランゴ・ラプラタ・カウンティ空港 D urango-La Plata County Airport アメリカ デュランゴ			
DRR	YDRI	D urrie Airport オーストラリア			
DRS	EDDC	ドレスデン空港 D resden Airport ドイツ ドレスデン			
DRT	KDRT	D el R io International Airport アメリカ デル・リオ			
DRU		D rummond Airport (FAA: M26) アメリカ			
DRV	VRMD	ダラヴァンドゥー空港 D haravandhoo Airport モルディブ ダラヴァンドゥー			
DRW	YPDN	ダーウィン国際空港 D arwin International Airport オーストラリア ダーウィン			
DSA	EGCN	Robin Hood Airport D oncaster S heffield イギリス			
DSC	FKKS	D schang Airport カメルーン			
DSD	TFFA	Grande Anse Airport グアドループ			
DSE	HADC	Combolcha Airport エチオピア			
DSG		D ilasag Airport フィリピン			
DSI	KDTS	D estin-Fort Walton Beach Airport (FAA: D T S ) アメリカ			
DSK	OPDI	D era Ismail Khan Airport パキスタン			
DSL		D aru Airport シエラレオネ			
DSM	KDSM	デモイン国際空港 D es Moines International Airport アメリカ デモイン			
DSN	ZBDS	Ordos Ejin Horo Airport 中国			
DSS	GOBD	ブレーズ・ジャーニュ国際空港 Blaise D iagne International Airport セネガル ダカール			
DSV	KDSV	D ansville Municipal Airport アメリカ ダンズビル			
DTA	KDTA	D elta Municipal Airport アメリカ			
DTD	WALJ	ダタダワイ空港 D atadawai Airport インドネシア			
DTE	RPUD	Bagasbas Airport フィリピン			
DTH		D eath Valley National Park Airport アメリカ			
DTL	KDTL	D etroit Lakes Airport (Wething Field) アメリカ			
DTM	EDLW	ドルトムント空港 D ortmund Airport ドイツ ドルトムント			
DTN	KDTN	Shreveport D owntown Airport アメリカ			
DTW	KDTW	デトロイト・メトロポリタン国際空港 D etroit Metropolitan Wayne County Airport アメリカ デトロイト			
DUA	KDUA	Eaker Field アメリカ			
DUB	EIDW	ダブリン空港 D ublin Airport アイルランド ダブリン			
DUC	KDUC	Halliburton Field アメリカ			
DUD	NZDN	ダニーデン国際空港 D unedin International Airport ニュージーランド ダニーデン			
DUE	FNDU	D undo Airport アンゴラ			
DUF		Pine Island Airport (FAA: 7NC2) アメリカ			
DUG	KDUG	ビスビー・ダグラス国際 Bisbee- D ouglas International Airport アメリカ ビスビー、ダグラス			
DUJ	KDUJ	D uBois Regional Airport (formerly D uBois-Jefferson County Airport) アメリカ			
DUK	FADK	D ukuduk Airport 南アフリカ			
DUM	WIBD	Pinang Kampai Airport インドネシア			
DUN	BGDU	D undas Airport グリーンランド			
DUQ		D uncan Airport カナダ			
DUR	FALE	King Shaka International Airport 南アフリカ			
DUS	EDDL	デュッセルドルフ国際空港 D üsseldorf International Airport ドイツ デュッセルドルフ			
DUT	PADU	ウナラスカ空港 U nalaska Airport アメリカ ウナラスカ			
DVA	LRDV	D eva Airport ルーマニア			
DVD		Andavadoaka Airport マダガスカル			
DVL	KDVL	D evils Lake Municipal Airport アメリカ			
DVN	KDVN	D avenport Municipal Airport アメリカ			
DVO	RPMD	フランシスコ･バンゴイ国際空港 Francisco Bangoy International Airport フィリピン ダバオ			
DVP	YDPD	D avenport D owns Airport オーストラリア			
DVR		D aly River Airport オーストラリア			
DVT	KDVT	Phoenix D eer V alley Airport アメリカ			
DWA	FWDW	D wangwa Airport マラウイ			
DWB	FMNO	Soalala Airport マダガスカル			
DWC	OMDW	Al Maktoum International Airport アラブ首長国連邦			
DWD	OEDW	D awadmi Airport サウジアラビア			
DWH	KDWH	D avid W ayne Hooks Memorial Airport アメリカ ヒューストン			
DWN		D owntown Airpark (FAA: OK03) アメリカ			
DWS			W alt D isney W orld Airport (no FAA code)		
DXB	OMDB	ドバイ国際空港 D ubai International Airport アラブ首長国連邦 ドバイ			
DXD	YDIX	D ixie Airport オーストラリア			
DXR	KDXR	D anbury Municipal Airport アメリカ			
DYA	YDYS	D ysart Airport オーストラリア			
DYG	ZGDY	Zhangjiajie Hehua Airport (formerly D ayong Airport) 中国			
DYL	KDYL	D oylestown Airport アメリカ			
DYM		D iamantina Lakes Airport オーストラリア			
DYR	UHMA	Ugolny Airport ロシア			
DYS	KDYS	D yess Air Force Base アメリカ アビリーン			
DYU	UTDD	ドゥシャンベ空港 D ushanbe Airport タジキスタン ドゥシャンベ			
DYW		D aly Waters Airport オーストラリア			
DZA	FMCZ	ザウジ・パモジ国際空港 D zaoudzi Pamandzi International Airport フランス ザウジ			
DZI		Codazzi Airport コロンビア			
DZN	UAKD	Z hezkazgan Airport カザフスタン			
DZO	SUDU	Santa Bernardina International Airport ウルグアイ			
DZU	ZUDZ	D azu Airport 中国			
EAA	PAEG	E agle A irport アメリカ			
EAB	ODAS	A bbse A irport イエメン			
EAE	NVSE	Siwo A irport バヌアツ			
EAL		E lenak A irport マーシャル諸島			
EAM	OENG	Najran Domestic A irport サウジアラビア			
EAN	KEAN	Phifer A irfield アメリカ			
EAR	KEAR	Kearney Regional A irport アメリカ			
EAS	LESO	San Sebastián A irport (or Fuenterrabia A irport) スペイン サン・セバスチャン			
EAT	KEAT	ワナッチー空港 Pangborn Memorial A irport アメリカ ワナッチー			
EAU	KEAU	Chippewa Valley Regional A irport アメリカ			
EBA	LIRJ	Marina di Campo Airport イタリア			
EBB	HUEN	エンテベ国際空港 E ntebbe International Airport ウガンダ エンテベ			
EBD	HSOB	E l Obeid Airport スーダン			
EBG	SKEB	E l B agre Airport コロンビア			
EBJ	EKEB	エスビャウ空港 E sbjerg Airport デンマーク エスビャウ			
EBL	ORER	アルビール国際空港 Arbil International Airport イラク アルビール			
EBM	DTTR	E l B orma Airport チュニジア			
EBN		E badon Airstrip マーシャル諸島			
EBO		E bon Airport マーシャル諸島			
EBS	KEBS	Webster City Municipal Airport アメリカ			
EBU	LFMH		Saint-Étienne	Saint-Étienne	B outhéon Airport フランス
EBW	FKKW	E bolowa Airport カメルーン			
ECA		Iosco C ounty Airport (FAA: 6D9) アメリカ			
ECG	KECG	E lizabeth C ity Regional Airport / E lizabeth C ity C oast Guard Air Station アメリカ			
ECH	YECH	E chuca Airport オーストラリア			
ECN	LCEN	エルジャン国際空港 E rcan International Airport キプロス ニコシア			
ECO		E l E ncanto Airport コロンビア			
ECP	KECP	Northwest Florida Beaches International Airport アメリカ パナマシティ			
ECR		E l C harco Airport コロンビア			
ECS	KECS	Mondell Field アメリカ			
EDA		E dna Bay Municipal Airport (or Seaplane Base?) アメリカ			
EDB	HSDB	E l D ebba Airport スーダン			
EDC	KEDC	オースティン・エグゼクティブ空港 Austin E xecutive Airport アメリカ オースティン			
EDD		E rldunda Airport オーストラリア			
EDE	KEDE	Northeastern Regional Airport アメリカ			
EDF	PAED	E lmendorf Air Force Base アメリカ			
EDG	KEDG	Weide Army Airfield アメリカ			
EDI	EGPH	エディンバラ空港 E dinburgh Airport イギリス エジンバラ			
EDK	KEQA	Captain Jack Thomas/ E l D orado Airport (FAA: E QA) アメリカ			
EDL	HKEL	E ldoret International Airport ケニア			
EDM	LFRI	La Roche-sur-Yon Aerodrome フランス			
EDO	LTFD	E dremit Körfez Airport トルコ			
EDQ		E randique Airport ホンジュラス			
EDR	YPMP	E dward River Airport オーストラリア			
EDW	KEDW	E dwards Air Force Base アメリカ エドワーズ			
EED	KEED	Needles Airport アメリカ ニードレス			
EEK	PAEE	E ek Airport アメリカ			
EEN	KEEN	Dillant-Hopkins Airport アメリカ			
EFD	KEFD	E llington F ield アメリカ ヒューストン			
EFG	AYEF	E fogi Airport パプアニューギニア			
EFK	KEFK	Newport State Airport アメリカ			
EFL	LGKF	ケファロニア国際空港 Cephalonia International Airport ギリシャ ケファロニア			
EFW	KEFW	Jefferson Municipal Airport アメリカ			
EGA	AYEN	E ngati Airport パプアニューギニア			
EGC	LFBE	Bergerac-Roumanière Airport フランス			
EGE	KEGE	イーグル・カウンティ・リージョナル空港 E agle County Regional Airport アメリカ イーグル、ベイル			
EGI	KEGI	Duke Field ( E glin Auxiliary Field 3) アメリカ			
EGL	HANG	Neghele Airport エチオピア			
EGM	AGGS	Sege Airport ソロモン諸島			
EGN	HSGN	G eneina Airport スーダン			
EGO	UUOB	Belgorod Airport ロシア			
EGP		Maverick County Airport アメリカ イーグル・パス			
EGS	BIEG	E gilsstaðir Airport アイスランド			
EGV	KEGV	E agle River Union Airport アメリカ			
EGX	PAII	E gegik Airport (FAA: E II) アメリカ			
EHL	SAVB	E l Bolson Airport アルゼンチン			
EHM	PAEH	Cape Newenham LRRS Airport アメリカ			
EHT		Rentschler H eliport (FAA: CT88) アメリカ			
EIA		Popondetta Airport パプアニューギニア			
EIE	UNII	Yeniseysk Airport ロシア			
EIH		E inasleigh Airport オーストラリア			
EIL	PAEI	E ielson Air Force Base アメリカ フェアバンクス			
EIN	EHEH	アイントホーフェン空港 E indhoven Airport オランダ アイントホーフェン			
EIS	TUPJ		Terrance B. Lettsome I nternational Airport		
EIY	LLEY	E in Yahav Airfield イスラエル			
EJA	SKEJ	Yarigüies Airport コロンビア			
EJH	OEWJ	Wejh Airport サウジアラビア			
EJN		E jin Banner Taolai Airport 中国			
EJT		E nejit Airport マーシャル諸島			
EKA	KEKA	Murray Field アメリカ ユーレカ			
EKB	UASB	E kibastuz Airport カザフスタン			
EKD		E lkedra Airport オーストラリア			
EKE		E kereku Airport ガイアナ			
EKI	KEKM	E lkhart Municipal Airport (FAA: E K M) アメリカ			
EKN	KEKN	E lkins-Randolph Co.-Jennings Randolph Field アメリカ			
EKO	KEKO	エルコ・リージョナル空港 E lko Regional Airport アメリカ エルコ			
